game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0074,1,12:00,DAL,0.0,SAS,0.0,,,Start of 1st Period (7:37 PM EST),period,start,0,0,0,0,,,
S2425-G0074,1,12:00,DAL,,SAS,,D. Gafford,DAL,Jump Ball Gafford vs. Wembanyama: Tip to Barnes,Jump Ball,,0,0,0,0,,,h
S2425-G0074,1,11:38,DAL,,SAS,,J. Champagnie,SAS,MISS Champagnie 3PT Jump Shot,Missed Shot,Jump Shot,223,2,0,1,3.0,0.0,v
S2425-G0074,1,11:35,DAL,,SAS,,K. Thompson,DAL,Thompson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,1,11:29,DAL,,SAS,,K. Irving,DAL,MISS Irving 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-210,117,24,1,3.0,0.0,h
S2425-G0074,1,11:26,DAL,,SAS,,J. Champagnie,SAS,Champagnie REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0074,1,11:20,DAL,0.0,SAS,3.0,J. Champagnie,SAS,Champagnie 25' 3PT Jump Shot (3 PTS) (Paul 1 AST),Made Shot,Jump Shot,164,195,25,1,3.0,3.0,v
S2425-G0074,1,11:02,DAL,,SAS,,L. Dončić,DAL,MISS Dončić 24' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,81,229,24,1,3.0,0.0,h
S2425-G0074,1,11:00,DAL,,SAS,,C. Paul,SAS,Paul REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0074,1,11:00,DAL,,SAS,,K. Irving,DAL,Irving P.FOUL (P1.T1) (R.Mott),Foul,Personal,0,0,0,0,,,h
S2425-G0074,1,10:37,DAL,0.0,SAS,6.0,J. Sochan,SAS,Sochan 26' 3PT Jump Shot (3 PTS) (Barnes 1 AST),Made Shot,Jump Shot,-163,197,26,1,3.0,3.0,v
S2425-G0074,1,10:24,DAL,2.0,SAS,6.0,D. Gafford,DAL,Gafford 4' Hook Shot (2 PTS) (Irving 1 AST),Made Shot,Hook Shot,21,29,4,1,2.0,2.0,h
S2425-G0074,1,10:12,DAL,,SAS,,J. Champagnie,SAS,MISS Champagnie 6' Driving Layup,Missed Shot,Driving Layup Shot,22,55,6,1,2.0,0.0,v
S2425-G0074,1,10:12,DAL,,SAS,,K. Irving,DAL,Irving BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0074,1,10:12,DAL,,SAS,,,,MAVERICKS Rebound,Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,1,10:01,DAL,,SAS,,K. Irving,DAL,MISS Irving 22' Jump Shot,Missed Shot,Jump Shot,134,169,22,1,2.0,0.0,h
S2425-G0074,1,09:58,DAL,,SAS,,K. Thompson,DAL,Thompson REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,1,09:52,DAL,,SAS,,L. Dončić,DAL,MISS Dončić 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-97,231,25,1,3.0,0.0,h
S2425-G0074,1,09:47,DAL,,SAS,,V. Wembanyama,SAS,Wembanyama REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0074,1,09:41,DAL,,SAS,,V. Wembanyama,SAS,MISS Wembanyama 28' 3PT Jump Shot,Missed Shot,Jump Shot,31,278,28,1,3.0,0.0,v
S2425-G0074,1,09:37,DAL,,SAS,,L. Dončić,DAL,Dončić REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,1,09:37,DAL,,SAS,,L. Dončić,DAL,Dončić Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0074,1,09:37,DAL,,SAS,,H. Barnes,SAS,Barnes STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0074,1,09:37,DAL,,SAS,,P. Washington,DAL,Washington P.FOUL (P1.T2) (R.Mott),Foul,Personal,0,0,0,0,,,h
S2425-G0074,1,09:31,DAL,,SAS,,J. Sochan,SAS,MISS Sochan 3PT Jump Shot,Missed Shot,Jump Shot,-233,12,0,1,3.0,0.0,v
S2425-G0074,1,09:27,DAL,,SAS,,L. Dončić,DAL,Dončić REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,1,09:16,DAL,4.0,SAS,6.0,K. Thompson,DAL,Thompson 19' Pullup Jump Shot (2 PTS) (Dončić 1 AST),Made Shot,Pullup Jump shot,145,125,19,1,2.0,2.0,h
S2425-G0074,1,09:09,DAL,,SAS,,L. Dončić,DAL,Dončić Violation:Kicked Ball (J.Goldenberg),Violation,Kicked Ball,0,0,0,0,,,h
S2425-G0074,1,09:04,DAL,,SAS,,V. Wembanyama,SAS,Wembanyama Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0074,1,09:04,DAL,,SAS,,K. Thompson,DAL,Thompson STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0074,1,08:52,DAL,,SAS,,K. Irving,DAL,MISS Irving 20' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-199,34,20,1,2.0,0.0,h
S2425-G0074,1,08:50,DAL,,SAS,,H. Barnes,SAS,Barnes REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0074,1,08:46,DAL,,SAS,,V. Wembanyama,SAS,MISS Wembanyama 2' Running Alley Oop Dunk Shot,Missed Shot,Running Alley Oop Dunk Shot,-1,20,2,1,2.0,0.0,v
S2425-G0074,1,08:44,DAL,,SAS,,K. Thompson,DAL,Thompson REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,1,08:40,DAL,,SAS,,P. Washington,DAL,MISS Washington 26' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,141,215,26,1,3.0,0.0,h
S2425-G0074,1,08:39,DAL,,SAS,,,,Spurs Rebound,Rebound,Unknown,0,0,0,0,,,v
S2425-G0074,1,08:17,DAL,4.0,SAS,8.0,H. Barnes,SAS,Barnes 5' Floating Jump Shot (2 PTS),Made Shot,Floating Jump shot,16,43,5,1,2.0,2.0,v
S2425-G0074,1,08:05,DAL,7.0,SAS,8.0,K. Irving,DAL,Irving 25' 3PT Pullup Jump Shot (3 PTS),Made Shot,Pullup Jump shot,17,245,25,1,3.0,3.0,h
S2425-G0074,1,07:53,DAL,7.0,SAS,10.0,J. Champagnie,SAS,Champagnie 3' Cutting Layup Shot (5 PTS) (Paul 2 AST),Made Shot,Cutting Layup Shot,26,12,3,1,2.0,2.0,v
S2425-G0074,1,07:38,DAL,,SAS,,P. Washington,DAL,MISS Washington 2' Driving Layup,Missed Shot,Driving Layup Shot,9,16,2,1,2.0,0.0,h
S2425-G0074,1,07:34,DAL,,SAS,,P. Washington,DAL,Washington REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,1,07:34,DAL,9.0,SAS,10.0,P. Washington,DAL,Washington Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0074,1,07:19,DAL,,SAS,,V. Wembanyama,SAS,Wembanyama Lost Ball Turnover (P2.T2),Turnover,Lost Ball,0,0,0,0,,,v
