game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0933,1,10:40,DET,,CHA,,G. Williams,CHA,Williams Step Out of Bounds Turnover (P1.T1),Turnover,Step Out of Bounds Turnover,0,0,0,0,,,v
S2324-G0933,1,10:28,DET,,CHA,,G. Williams,CHA,Williams S.FOUL (P1.T1) (R.Acosta),Foul,Shooting,0,0,0,0,,,v
S2324-G0933,1,10:15,DET,4.0,CHA,4.0,G. Williams,CHA,Williams 3' Driving Layup (2 PTS) (Miller 1 AST),Made Shot,Driving Layup Shot,-34,7,3,1,2.0,2.0,v
S2324-G0933,1,09:55,DET,,CHA,,G. Williams,CHA,Williams STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0933,1,09:31,DET,,CHA,,G. Williams,CHA,MISS Williams 5' Driving Layup,Missed Shot,Driving Layup Shot,-33,33,5,1,2.0,0.0,v
S2324-G0933,1,07:59,DET,10.0,CHA,12.0,G. Williams,CHA,Williams 3PT Jump Shot (5 PTS) (Micic 1 AST),Made Shot,Jump Shot,227,-16,0,1,3.0,3.0,v
S2324-G0933,1,06:29,DET,,CHA,,G. Williams,CHA,MISS Williams 10' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,97,33,10,1,2.0,0.0,v
S2324-G0933,1,06:02,DET,,CHA,,G. Williams,CHA,SUB: Thor FOR Williams,Substitution,,0,0,0,0,,,v
S2324-G0933,1,02:01,DET,,CHA,,G. Williams,CHA,Williams REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0933,1,01:47,DET,,CHA,,G. Williams,CHA,Williams Lost Ball Turnover (P2.T4),Turnover,Lost Ball,0,0,0,0,,,v
S2324-G0933,1,00:21.700000,DET,,CHA,,G. Williams,CHA,MISS Williams 26' 3PT Jump Shot,Missed Shot,Jump Shot,29,258,26,1,3.0,0.0,v
S2324-G0933,2,11:38,DET,,CHA,,G. Williams,CHA,Williams Out of Bounds - Bad Pass Turnover Turnover (P3.T5),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G0933,2,10:47,DET,,CHA,,G. Williams,CHA,MISS Williams 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-107,239,26,1,3.0,0.0,v
S2324-G0933,2,08:41,DET,,CHA,,G. Williams,CHA,Williams Bad Pass Turnover (P4.T7),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0933,2,08:37,DET,,CHA,,G. Williams,CHA,SUB: Micic FOR Williams,Substitution,,0,0,0,0,,,v
S2324-G0933,2,04:42,DET,,CHA,,G. Williams,CHA,Williams REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0933,2,04:15,DET,,CHA,,G. Williams,CHA,Williams S.FOUL (P2.T3) (D.Collins),Foul,Shooting,0,0,0,0,,,v
S2324-G0933,2,03:44,DET,,CHA,,G. Williams,CHA,Williams REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0933,2,03:17,DET,48.0,CHA,46.0,G. Williams,CHA,Williams 4' Hook Shot (7 PTS) (Micic 4 AST),Made Shot,Hook Shot,-31,32,4,1,2.0,2.0,v
S2324-G0933,2,01:13,DET,,CHA,,G. Williams,CHA,SUB: Richards FOR Williams,Substitution,,0,0,0,0,,,v
S2324-G0933,3,08:31,DET,,CHA,,G. Williams,CHA,Williams STEAL (2 STL),,,0,0,0,0,,,v
S2324-G0933,3,06:20,DET,70.0,CHA,55.0,G. Williams,CHA,Williams Free Throw 1 of 2 (8 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0933,3,06:20,DET,70.0,CHA,56.0,G. Williams,CHA,Williams Free Throw 2 of 2 (9 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G0933,3,05:55,DET,,CHA,,G. Williams,CHA,SUB: Thor FOR Williams,Substitution,,0,0,0,0,,,v
S2324-G0933,3,00:01.300000,DET,,CHA,,G. Williams,CHA,MISS Williams 27' 3PT Jump Shot,Missed Shot,Jump Shot,184,194,27,1,3.0,0.0,v
S2324-G0933,4,11:47,DET,86.0,CHA,69.0,G. Williams,CHA,Williams 2' Layup (11 PTS) (Miller 5 AST),Made Shot,Layup Shot,-18,0,2,1,2.0,2.0,v
S2324-G0933,4,11:47,DET,86.0,CHA,70.0,G. Williams,CHA,Williams Free Throw 1 of 1 (12 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2324-G0933,4,11:23,DET,88.0,CHA,72.0,G. Williams,CHA,Williams 2' Driving Layup (14 PTS) (Miller 6 AST),Made Shot,Driving Layup Shot,-20,14,2,1,2.0,2.0,v
S2324-G0933,4,10:13,DET,,CHA,,G. Williams,CHA,MISS Williams 11' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,-109,-8,11,1,2.0,0.0,v
S2324-G0933,4,09:45,DET,,CHA,,G. Williams,CHA,Williams REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2324-G0933,4,09:37,DET,,CHA,,G. Williams,CHA,MISS Williams Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2324-G0933,4,09:37,DET,90.0,CHA,75.0,G. Williams,CHA,Williams Free Throw 2 of 2 (15 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G0933,4,07:48,DET,94.0,CHA,80.0,G. Williams,CHA,Williams 27' 3PT Jump Shot (18 PTS) (Bertans 1 AST),Made Shot,Jump Shot,137,229,27,1,3.0,3.0,v
S2324-G0933,4,07:48,DET,,CHA,,G. Williams,CHA,SUB: Bridges FOR Williams,Substitution,,0,0,0,0,,,v
S2324-G0933,4,04:32,DET,100.0,CHA,92.0,G. Williams,CHA,Williams Free Throw 1 of 2 (19 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0933,4,04:32,DET,100.0,CHA,93.0,G. Williams,CHA,Williams Free Throw 2 of 2 (20 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G0933,4,03:17,DET,106.0,CHA,96.0,G. Williams,CHA,Williams Free Throw 1 of 2 (21 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0933,4,03:17,DET,106.0,CHA,97.0,G. Williams,CHA,Williams Free Throw 2 of 2 (22 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G0933,4,01:36,DET,,CHA,,G. Williams,CHA,Williams P.FOUL (P3.T4) (M.Myers),Foul,Personal,0,0,0,0,,,v
S2324-G0933,4,01:18,DET,,CHA,,G. Williams,CHA,Williams P.FOUL (P4.PN) (M.Myers),Foul,Personal,0,0,0,0,,,v
S2324-G0933,4,01:14,DET,,CHA,,G. Williams,CHA,Williams OFF.Foul (P5) (R.Acosta),Foul,Offensive,0,0,0,0,,,v
S2324-G0933,4,01:14,DET,,CHA,,G. Williams,CHA,Williams Offensive Foul Turnover (P5.T12),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2324-G0933,4,00:44.100000,DET,,CHA,,G. Williams,CHA,MISS Williams 4' Running Layup,Missed Shot,Running Layup Shot,28,30,4,1,2.0,0.0,v
S2324-G1135,1,12:00,CHA,,OKC,,G. Williams,CHA,Jump Ball Williams vs. Holmgren: Tip to Giddey,Jump Ball,,0,0,0,0,,,h
S2324-G1135,1,07:46,CHA,12.0,OKC,15.0,G. Williams,CHA,Williams 26' 3PT Jump Shot (3 PTS),Made Shot,Jump Shot,100,241,26,1,3.0,3.0,h
S2324-G1135,1,07:21,CHA,14.0,OKC,17.0,G. Williams,CHA,Williams 4' Driving Layup (5 PTS) (Miller 2 AST),Made Shot,Driving Layup Shot,-22,31,4,1,2.0,2.0,h
S2324-G1135,1,06:17,CHA,17.0,OKC,22.0,G. Williams,CHA,Williams 3' Layup (7 PTS) (Micic 1 AST),Made Shot,Layup Shot,9,29,3,1,2.0,2.0,h
S2324-G1135,1,03:32,CHA,,OKC,,G. Williams,CHA,Williams REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1135,1,02:22,CHA,,OKC,,G. Williams,CHA,SUB: Mann FOR Williams,Substitution,,0,0,0,0,,,h
S2324-G1135,2,11:22,CHA,,OKC,,G. Williams,CHA,Williams STEAL (1 STL),,,0,0,0,0,,,h
S2324-G1135,2,11:15,CHA,,OKC,,G. Williams,CHA,Williams Out of Bounds - Bad Pass Turnover Turnover (P1.T4),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2324-G1135,2,07:28,CHA,,OKC,,G. Williams,CHA,Williams P.FOUL (P1.T4) (R.Hussey),Foul,Personal,0,0,0,0,,,h
S2324-G1135,2,06:55,CHA,,OKC,,G. Williams,CHA,Williams REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1135,2,05:44,CHA,40.0,OKC,51.0,G. Williams,CHA,Williams 3' Driving Layup (9 PTS) (Micic 2 AST),Made Shot,Driving Layup Shot,-16,20,3,1,2.0,2.0,h
S2324-G1135,2,05:25,CHA,,OKC,,G. Williams,CHA,SUB: Richards FOR Williams,Substitution,,0,0,0,0,,,h
S2324-G1135,2,02:12,CHA,,OKC,,G. Williams,CHA,Williams BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G1135,3,11:33,CHA,,OKC,,G. Williams,CHA,Williams S.FOUL (P2.T1) (M.Davis),Foul,Shooting,0,0,0,0,,,h
S2324-G1135,3,09:41,CHA,63.0,OKC,75.0,G. Williams,CHA,Williams 4' Driving Layup (11 PTS) (Micic 6 AST),Made Shot,Driving Layup Shot,27,25,4,1,2.0,2.0,h
S2324-G1135,3,06:12,CHA,,OKC,,G. Williams,CHA,Williams Bad Pass Turnover (P2.T12),Turnover,Bad Pass,0,0,0,0,,,h
