game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0074,1,09:37,DAL,,SAS,,H. Barnes,SAS,Barnes STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0074,1,08:50,DAL,,SAS,,H. Barnes,SAS,Barnes REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0074,1,08:17,DAL,4.0,SAS,8.0,H. Barnes,SAS,Barnes 5' Floating Jump Shot (2 PTS),Made Shot,Floating Jump shot,16,43,5,1,2.0,2.0,v
S2425-G0074,1,06:58,DAL,12.0,SAS,12.0,H. Barnes,SAS,Barnes 1' Driving Layup (4 PTS),Made Shot,Driving Layup Shot,2,6,1,1,2.0,2.0,v
S2425-G0074,1,05:30,DAL,13.0,SAS,15.0,H. Barnes,SAS,Barnes 25' 3PT Jump Shot (7 PTS) (Jones 1 AST),Made Shot,Jump Shot,-221,113,25,1,3.0,3.0,v
S2425-G0074,1,05:09,DAL,13.0,SAS,18.0,H. Barnes,SAS,Barnes 26' 3PT Running Jump Shot (10 PTS) (Sochan 1 AST),Made Shot,Running Jump Shot,-116,231,26,1,3.0,3.0,v
S2425-G0074,1,04:41,DAL,15.0,SAS,20.0,H. Barnes,SAS,Barnes 13' Pullup Jump Shot (12 PTS) (Jones 2 AST),Made Shot,Pullup Jump shot,-131,-14,13,1,2.0,2.0,v
S2425-G0074,1,03:27,DAL,,SAS,,H. Barnes,SAS,Barnes REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0074,1,01:53,DAL,,SAS,,H. Barnes,SAS,SUB: Paul FOR Barnes,Substitution,,0,0,0,0,,,v
S2425-G0074,2,05:38,DAL,,SAS,,H. Barnes,SAS,MISS Barnes 26' 3PT Jump Shot,Missed Shot,Jump Shot,-130,225,26,1,3.0,0.0,v
S2425-G0074,2,05:27,DAL,,SAS,,H. Barnes,SAS,Barnes REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0074,2,04:36,DAL,,SAS,,H. Barnes,SAS,MISS Barnes 3PT Jump Shot,Missed Shot,Jump Shot,223,-6,0,1,3.0,0.0,v
S2425-G0074,2,03:26,DAL,40.0,SAS,42.0,H. Barnes,SAS,Barnes 12' Driving Floating Bank Jump Shot (14 PTS) (Jones 3 AST),Made Shot,Driving Floating Bank Jump Shot,115,26,12,1,2.0,2.0,v
S2425-G0074,2,02:21,DAL,,SAS,,H. Barnes,SAS,Barnes S.FOUL (P1.T3) (J.Goldenberg),Foul,Shooting,0,0,0,0,,,v
