game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0096,1,00:57.700000,LAL,,SAC,,A. Len,SAC,Len REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0096,2,11:53,LAL,,SAC,,A. Len,SAC,MISS Len 3PT Jump Shot,Missed Shot,Jump Shot,227,31,0,1,3.0,0.0,v
S2425-G0096,2,10:57,LAL,,SAC,,A. Len,SAC,Len OFF.Foul (P1) (D.Richardson),Foul,Offensive,0,0,0,0,,,v
S2425-G0096,2,10:57,LAL,,SAC,,A. Len,SAC,Len Offensive Foul Turnover (P1.T3),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2425-G0096,2,10:57,LAL,,SAC,,A. Len,SAC,SUB: Lyles FOR Len,Substitution,,0,0,0,0,,,v
S2425-G0096,3,01:05,LAL,,SAC,,A. Len,SAC,Len Bad Pass Turnover (P2.T10),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0096,3,00:49,LAL,,SAC,,A. Len,SAC,MISS Len 3' Layup,Missed Shot,Layup Shot,23,16,3,1,2.0,0.0,v
S2425-G0096,3,00:38.400000,LAL,,SAC,,A. Len,SAC,Len REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0096,3,00:00.800000,LAL,,SAC,,A. Len,SAC,Len BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0096,4,09:57,LAL,,SAC,,A. Len,SAC,SUB: Lyles FOR Len,Substitution,,0,0,0,0,,,v
S2425-G0115,4,03:03,UTA,,SAC,,A. Len,SAC,Len REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0115,4,02:16,UTA,92.0,SAC,113.0,A. Len,SAC,Len 6' Floating Jump Shot (2 PTS) (McLaughlin 1 AST),Made Shot,Floating Jump shot,4,64,6,1,2.0,2.0,v
S2425-G0115,4,01:52,UTA,,SAC,,A. Len,SAC,Len REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0115,4,01:21,UTA,,SAC,,A. Len,SAC,Len REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0115,4,00:14.300000,UTA,,SAC,,A. Len,SAC,Len REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0159,1,07:29,MIA,,SAC,,A. Len,SAC,Len REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0159,1,06:22,MIA,,SAC,,A. Len,SAC,SUB: Sabonis FOR Len,Substitution,,0,0,0,0,,,v
S2425-G0159,1,00:01.900000,MIA,,SAC,,A. Len,SAC,Len BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0159,1,00:01.900000,MIA,,SAC,,A. Len,SAC,SUB: Ellis FOR Len,Substitution,,0,0,0,0,,,v
S2425-G0159,2,10:48,MIA,,SAC,,A. Len,SAC,MISS Len 3PT Jump Shot,Missed Shot,Jump Shot,233,17,0,1,3.0,0.0,v
S2425-G0159,2,07:44,MIA,,SAC,,A. Len,SAC,SUB: Sabonis FOR Len,Substitution,,0,0,0,0,,,v
S2425-G0159,4,10:49,MIA,,SAC,,A. Len,SAC,Len STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0159,4,09:55,MIA,,SAC,,A. Len,SAC,Len OFF.Foul (P1) (J.Goble),Foul,Offensive,0,0,0,0,,,v
S2425-G0159,4,09:55,MIA,,SAC,,A. Len,SAC,Len Offensive Foul Turnover (P1.T11),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2425-G0159,4,09:55,MIA,,SAC,,A. Len,SAC,SUB: Sabonis FOR Len,Substitution,,0,0,0,0,,,v
S2425-G0196,2,11:36,SAC,,LAC,,A. Len,SAC,Len REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0196,2,10:40,SAC,,LAC,,A. Len,SAC,Len REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0196,2,08:50,SAC,,LAC,,A. Len,SAC,Len S.FOUL (P1.T2) (J.Butler),Foul,Shooting,0,0,0,0,,,h
S2425-G0196,2,08:13,SAC,,LAC,,A. Len,SAC,SUB: Sabonis FOR Len,Substitution,,0,0,0,0,,,h
S2425-G0196,3,01:17,SAC,,LAC,,A. Len,SAC,Len REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0196,3,00:24.200000,SAC,,LAC,,A. Len,SAC,SUB: Murray FOR Len,Substitution,,0,0,0,0,,,h
S2425-G0196,4,09:51,SAC,,LAC,,A. Len,SAC,SUB: Huerter FOR Len,Substitution,,0,0,0,0,,,h
S2425-G0180,1,00:04.700000,SAC,,TOR,,A. Len,SAC,Len REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0180,1,00:04.700000,SAC,,TOR,,A. Len,SAC,Len Lost Ball Turnover (P1.T4),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0180,2,09:56,SAC,,TOR,,A. Len,SAC,Len BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0180,2,09:54,SAC,,TOR,,A. Len,SAC,Len REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0180,2,08:02,SAC,,TOR,,A. Len,SAC,Len REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0180,2,07:28,SAC,,TOR,,A. Len,SAC,SUB: Sabonis FOR Len,Substitution,,0,0,0,0,,,h
S2425-G0180,3,00:09.800000,SAC,,TOR,,A. Len,SAC,SUB: Sabonis FOR Len,Substitution,,0,0,0,0,,,h
S2425-G0180,4,11:48,SAC,,TOR,,A. Len,SAC,Len P.FOUL (P1.T1) (E.Malloy),Foul,Personal,0,0,0,0,,,h
S2425-G0180,4,11:34,SAC,,TOR,,A. Len,SAC,Len BLOCK (2 BLK),,,0,0,0,0,,,h
S2425-G0180,4,09:32,SAC,,TOR,,A. Len,SAC,Len REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0180,4,07:47,SAC,,TOR,,A. Len,SAC,Len REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0180,4,07:41,SAC,,TOR,,A. Len,SAC,MISS Len Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0180,4,07:41,SAC,102.0,TOR,98.0,A. Len,SAC,Len Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0180,4,07:00,SAC,,TOR,,A. Len,SAC,SUB: Murray FOR Len,Substitution,,0,0,0,0,,,h
S2425-G0180,4,02:00,SAC,122.0,TOR,107.0,A. Len,SAC,Len 1' Alley Oop Dunk (3 PTS) (Ellis 1 AST),Made Shot,Alley Oop Dunk Shot,7,5,1,1,2.0,2.0,h
S2425-G0180,4,01:43,SAC,,TOR,,A. Len,SAC,Len BLOCK (3 BLK),,,0,0,0,0,,,h
S2425-G0180,4,01:38,SAC,,TOR,,A. Len,SAC,Len REBOUND (Off:0 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2425-G0180,4,00:22.600000,SAC,,TOR,,A. Len,SAC,Len BLOCK (4 BLK),,,0,0,0,0,,,h
S2425-G0076,1,00:55.600000,SAC,29.0,MIN,24.0,A. Len,SAC,Len 2' Alley Oop Dunk (2 PTS) (Fox 3 AST),Made Shot,Alley Oop Dunk Shot,16,17,2,1,2.0,2.0,h
S2425-G0076,1,00:28.200000,SAC,,MIN,,A. Len,SAC,Len REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0076,1,00:09.500000,SAC,,MIN,,A. Len,SAC,Len Traveling Turnover (P1.T5),Turnover,Traveling,0,0,0,0,,,h
