game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0074,1,10:37,DAL,0.0,SAS,6.0,J. Sochan,SAS,Sochan 26' 3PT Jump Shot (3 PTS) (Barnes 1 AST),Made Shot,Jump Shot,-163,197,26,1,3.0,3.0,v
S2425-G0074,1,09:31,DAL,,SAS,,J. Sochan,SAS,MISS Sochan 3PT Jump Shot,Missed Shot,Jump Shot,-233,12,0,1,3.0,0.0,v
S2425-G0074,1,06:17,DAL,,SAS,,J. Sochan,SAS,Sochan Step Out of Bounds Turnover (P1.T3),Turnover,Step Out of Bounds Turnover,0,0,0,0,,,v
S2425-G0074,1,05:53,DAL,,SAS,,J. Sochan,SAS,Sochan REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0074,1,04:23,DAL,,SAS,,J. Sochan,SAS,Sochan S.FOUL (P1.T3) (R.Mott),Foul,Shooting,0,0,0,0,,,v
S2425-G0074,1,03:20,DAL,,SAS,,J. Sochan,SAS,SUB: Castle FOR Sochan,Substitution,,0,0,0,0,,,v
S2425-G0074,2,09:50,DAL,22.0,SAS,23.0,J. Sochan,SAS,Sochan Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0074,2,09:50,DAL,22.0,SAS,24.0,J. Sochan,SAS,Sochan Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0074,2,09:18,DAL,22.0,SAS,26.0,J. Sochan,SAS,Sochan 1' Cutting Layup Shot (7 PTS) (Champagnie 1 AST),Made Shot,Cutting Layup Shot,1,5,1,1,2.0,2.0,v
S2425-G0074,2,09:05,DAL,,SAS,,J. Sochan,SAS,Sochan REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0074,2,08:50,DAL,,SAS,,J. Sochan,SAS,MISS Sochan 6' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,2,62,6,1,2.0,0.0,v
S2425-G0074,2,06:57,DAL,,SAS,,J. Sochan,SAS,Sochan P.FOUL (P2.T2) (R.Mott),Foul,Personal,0,0,0,0,,,v
S2425-G0074,2,05:59,DAL,,SAS,,J. Sochan,SAS,SUB: Barnes FOR Sochan,Substitution,,0,0,0,0,,,v
S2425-G0074,2,01:16,DAL,44.0,SAS,49.0,J. Sochan,SAS,Sochan 1' Alley Oop Layup (9 PTS) (Wembanyama 1 AST),Made Shot,Alley Oop Layup shot,6,7,1,1,2.0,2.0,v
S2425-G0074,2,00:18.900000,DAL,,SAS,,J. Sochan,SAS,Sochan REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0074,3,10:53,DAL,50.0,SAS,50.0,J. Sochan,SAS,Sochan Free Throw 1 of 2 (10 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0074,3,10:53,DAL,50.0,SAS,51.0,J. Sochan,SAS,Sochan Free Throw 2 of 2 (11 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0074,3,09:15,DAL,,SAS,,J. Sochan,SAS,Sochan Bad Pass Turnover (P2.T13),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0074,3,08:29,DAL,,SAS,,J. Sochan,SAS,Sochan REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0074,3,08:10,DAL,,SAS,,J. Sochan,SAS,Sochan Lost Ball Turnover (P3.T16),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0074,3,06:51,DAL,69.0,SAS,57.0,J. Sochan,SAS,Sochan 2' Layup (13 PTS) (Champagnie 2 AST),Made Shot,Layup Shot,-18,16,2,1,2.0,2.0,v
S2425-G0074,3,06:48,DAL,,SAS,,J. Sochan,SAS,Sochan P.FOUL (P3.T3) (J.Tiven),Foul,Personal,0,0,0,0,,,v
S2425-G0074,3,06:28,DAL,69.0,SAS,59.0,J. Sochan,SAS,Sochan 1' Running Dunk (15 PTS) (Paul 6 AST),Made Shot,Running Dunk Shot,7,5,1,1,2.0,2.0,v
S2425-G0074,3,05:25,DAL,,SAS,,J. Sochan,SAS,MISS Sochan Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0074,3,05:25,DAL,,SAS,,J. Sochan,SAS,MISS Sochan Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0074,3,05:11,DAL,,SAS,,J. Sochan,SAS,SUB: Johnson FOR Sochan,Substitution,,0,0,0,0,,,v
S2425-G0074,4,11:42,DAL,,SAS,,J. Sochan,SAS,MISS Sochan 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-26,68,7,1,2.0,0.0,v
S2425-G0074,4,11:38,DAL,,SAS,,J. Sochan,SAS,Sochan REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0074,4,11:35,DAL,,SAS,,J. Sochan,SAS,Sochan FLAGRANT.FOUL.TYPE1 (P4.T1) (J.Goldenberg),Foul,Flagrant Type 1,0,0,0,0,,,v
