game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0096,1,03:26,LAL,,SAC,,M. Monk,SAC,MISS Monk 29' 3PT Jump Shot,Missed Shot,Jump Shot,221,186,29,1,3.0,0.0,v
S2425-G0096,1,02:27,LAL,,SAC,,M. Monk,SAC,MISS Monk 29' 3PT Jump Shot,Missed Shot,Jump Shot,58,280,29,1,3.0,0.0,v
S2425-G0096,1,00:21.600000,LAL,28.0,SAC,26.0,M. Monk,SAC,Monk 5' Driving Finger Roll Layup (2 PTS) (Fox 3 AST),Made Shot,Driving Finger Roll Layup Shot,-29,37,5,1,2.0,2.0,v
S2425-G0096,2,06:08,LAL,,SAC,,M. Monk,SAC,SUB: Fox FOR Monk,Substitution,,0,0,0,0,,,v
S2425-G0096,2,04:33,LAL,53.0,SAC,44.0,M. Monk,SAC,Monk 25' 3PT Jump Shot (5 PTS) (Sabonis 4 AST),Made Shot,Jump Shot,-246,33,25,1,3.0,3.0,v
S2425-G0096,2,04:04,LAL,,SAC,,M. Monk,SAC,Monk REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0096,2,03:20,LAL,53.0,SAC,51.0,M. Monk,SAC,Monk 3PT Running Jump Shot (8 PTS) (Lyles 1 AST),Made Shot,Running Jump Shot,229,15,0,1,3.0,3.0,v
S2425-G0096,2,02:12,LAL,,SAC,,M. Monk,SAC,MISS Monk 25' 3PT Jump Shot,Missed Shot,Jump Shot,214,128,25,1,3.0,0.0,v
S2425-G0096,2,00:31.500000,LAL,,SAC,,M. Monk,SAC,Monk S.FOUL (P1.PN) (S.Twardoski),Foul,Shooting,0,0,0,0,,,v
S2425-G0096,3,03:54,LAL,,SAC,,M. Monk,SAC,Monk REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0096,3,01:44,LAL,,SAC,,M. Monk,SAC,Monk S.FOUL (P2.T2) (K.Scott),Foul,Shooting,0,0,0,0,,,v
S2425-G0096,3,01:15,LAL,,SAC,,M. Monk,SAC,MISS Monk 18' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-13,182,18,1,2.0,0.0,v
S2425-G0096,4,09:09,LAL,,SAC,,M. Monk,SAC,MISS Monk 29' 3PT Jump Shot,Missed Shot,Jump Shot,98,278,29,1,3.0,0.0,v
S2425-G0096,4,08:13,LAL,,SAC,,M. Monk,SAC,MISS Monk 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-124,225,26,1,3.0,0.0,v
S2425-G0096,4,06:34,LAL,,SAC,,M. Monk,SAC,MISS Monk 6' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-9,61,6,1,2.0,0.0,v
S2425-G0096,4,06:23,LAL,,SAC,,M. Monk,SAC,Monk REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0096,4,05:00,LAL,116.0,SAC,106.0,M. Monk,SAC,Monk 2' Running Layup (10 PTS) (Fox 7 AST),Made Shot,Running Layup Shot,10,16,2,1,2.0,2.0,v
S2425-G0096,4,03:19,LAL,121.0,SAC,113.0,M. Monk,SAC,Monk 2' Layup (12 PTS) (Fox 8 AST),Made Shot,Layup Shot,-7,15,2,1,2.0,2.0,v
S2425-G0096,4,02:25,LAL,,SAC,,M. Monk,SAC,MISS Monk 5' Driving Layup,Missed Shot,Driving Layup Shot,37,32,5,1,2.0,0.0,v
S2425-G0096,4,00:58.600000,LAL,,SAC,,M. Monk,SAC,Monk STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0096,4,00:55.700000,LAL,125.0,SAC,123.0,M. Monk,SAC,Monk 3' Running Finger Roll Layup (14 PTS),Made Shot,Running Finger Roll Layup Shot,-5,25,3,1,2.0,2.0,v
S2425-G0096,4,00:10.600000,LAL,,SAC,,M. Monk,SAC,Monk Personal Take Foul (P3.PN) (K.Scott),Foul,Personal Take,0,0,0,0,,,v
S2425-G0115,1,00:41.100000,UTA,,SAC,,M. Monk,SAC,MISS Monk 25' 3PT Jump Shot,Missed Shot,Jump Shot,-189,168,25,1,3.0,0.0,v
S2425-G0115,2,11:25,UTA,,SAC,,M. Monk,SAC,MISS Monk 10' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,64,73,10,1,2.0,0.0,v
S2425-G0115,2,10:35,UTA,,SAC,,M. Monk,SAC,Monk REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
