game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0082,2,01:05,HOU,,MEM,,J. Morant,MEM,MISS Morant 8' Floating Jump Shot,Missed Shot,Floating Jump shot,-56,55,8,1,2.0,0.0,v
S2425-G0082,2,00:53.700000,HOU,,MEM,,J. Morant,MEM,Morant Bad Pass Turnover (P3.T8),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0082,2,00:20,HOU,,MEM,,J. Morant,MEM,MISS Morant 4' Running Layup,Missed Shot,Running Layup Shot,25,29,4,1,2.0,0.0,v
S2425-G0082,2,00:01.300000,HOU,,MEM,,J. Morant,MEM,MISS Morant 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,134,226,26,1,3.0,0.0,v
S2425-G0082,3,11:34,HOU,59.0,MEM,67.0,J. Morant,MEM,Morant 10' Pullup Jump Shot (17 PTS),Made Shot,Pullup Jump shot,-1,96,10,1,2.0,2.0,v
S2425-G0082,3,10:52,HOU,,MEM,,J. Morant,MEM,Morant Bad Pass Turnover (P4.T9),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0082,3,10:27,HOU,,MEM,,J. Morant,MEM,MISS Morant 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-1,67,7,1,2.0,0.0,v
S2425-G0082,3,09:34,HOU,,MEM,,J. Morant,MEM,MISS Morant 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,60,127,14,1,2.0,0.0,v
S2425-G0082,3,09:20,HOU,65.0,MEM,69.0,J. Morant,MEM,Morant 1' Running Layup (19 PTS) (Bane 3 AST),Made Shot,Running Layup Shot,-12,4,1,1,2.0,2.0,v
S2425-G0082,3,07:06,HOU,,MEM,,J. Morant,MEM,MISS Morant 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,89,239,26,1,3.0,0.0,v
S2425-G0082,3,06:40,HOU,,MEM,,J. Morant,MEM,Morant Bad Pass Turnover (P5.T10),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0082,3,05:50,HOU,,MEM,,J. Morant,MEM,SUB: LaRavia FOR Morant,Substitution,,0,0,0,0,,,v
S2425-G0082,3,00:32.400000,HOU,96.0,MEM,82.0,J. Morant,MEM,Morant Free Throw 1 of 2 (20 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0082,3,00:32.400000,HOU,96.0,MEM,83.0,J. Morant,MEM,Morant Free Throw 2 of 2 (21 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0082,4,11:48,HOU,,MEM,,J. Morant,MEM,Morant Out of Bounds Lost Ball Turnover (P6.T15),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,v
S2425-G0082,4,09:00,HOU,,MEM,,J. Morant,MEM,MISS Morant Layup,Missed Shot,Layup Shot,0,4,0,1,2.0,0.0,v
S2425-G0082,4,07:49,HOU,108.0,MEM,90.0,J. Morant,MEM,Morant 32' 3PT Jump Shot (24 PTS) (Edey 1 AST),Made Shot,Jump Shot,126,290,32,1,3.0,3.0,v
S2425-G0082,4,07:07,HOU,,MEM,,J. Morant,MEM,SUB: LaRavia FOR Morant,Substitution,,0,0,0,0,,,v
S2425-G0124,1,11:50,MEM,,BKN,,J. Morant,MEM,Morant REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0124,1,10:30,MEM,,BKN,,J. Morant,MEM,MISS Morant 6' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,12,63,6,1,2.0,0.0,h
S2425-G0124,1,09:27,MEM,,BKN,,J. Morant,MEM,Morant REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0124,1,09:20,MEM,,BKN,,J. Morant,MEM,Morant Bad Pass Turnover (P1.T2),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0124,1,09:11,MEM,,BKN,,J. Morant,MEM,Morant REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0124,1,07:29,MEM,,BKN,,J. Morant,MEM,MISS Morant 24' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,-232,53,24,1,3.0,0.0,h
S2425-G0124,1,06:28,MEM,,BKN,,J. Morant,MEM,Morant Out of Bounds - Bad Pass Turnover Turnover (P2.T4),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0124,1,06:28,MEM,,BKN,,J. Morant,MEM,SUB: LaRavia FOR Morant,Substitution,,0,0,0,0,,,h
S2425-G0124,1,00:56.800000,MEM,28.0,BKN,29.0,J. Morant,MEM,Morant Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0124,1,00:56.800000,MEM,29.0,BKN,29.0,J. Morant,MEM,Morant Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0124,1,00:11.500000,MEM,,BKN,,J. Morant,MEM,Morant Step Out of Bounds Turnover (P3.T7),Turnover,Step Out of Bounds Turnover,0,0,0,0,,,h
S2425-G0124,2,11:33,MEM,,BKN,,J. Morant,MEM,MISS Morant 1' Running Reverse Dunk Shot,Missed Shot,Running Reverse Dunk Shot,-2,9,1,1,2.0,0.0,h
S2425-G0124,2,09:04,MEM,,BKN,,J. Morant,MEM,MISS Morant 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-104,240,26,1,3.0,0.0,h
S2425-G0124,2,07:55,MEM,,BKN,,J. Morant,MEM,SUB: Pippen Jr. FOR Morant,Substitution,,0,0,0,0,,,h
S2425-G0124,2,01:54,MEM,57.0,BKN,61.0,J. Morant,MEM,Morant 9' Driving Floating Bank Jump Shot (4 PTS),Made Shot,Driving Floating Bank Jump Shot,-87,30,9,1,2.0,2.0,h
S2425-G0124,2,01:32,MEM,,BKN,,J. Morant,MEM,Morant Out of Bounds Lost Ball Turnover (P4.T14),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2425-G0124,2,01:13,MEM,,BKN,,J. Morant,MEM,Morant P.FOUL (P1.T4) (A.Smith),Foul,Personal,0,0,0,0,,,h
S2425-G0124,2,00:02.400000,MEM,,BKN,,J. Morant,MEM,Morant P.FOUL (P2.PN) (B.Forte),Foul,Personal,0,0,0,0,,,h
S2425-G0124,2,00:00.700000,MEM,62.0,BKN,67.0,J. Morant,MEM,Morant 2' Driving Finger Roll Layup (6 PTS) (LaRavia 5 AST),Made Shot,Driving Finger Roll Layup Shot,7,22,2,1,2.0,2.0,h
S2425-G0124,3,10:10,MEM,,BKN,,J. Morant,MEM,MISS Morant 25' 3PT Jump Shot,Missed Shot,Jump Shot,-184,163,25,1,3.0,0.0,h
S2425-G0124,3,10:04,MEM,,BKN,,J. Morant,MEM,MISS Morant 28' 3PT Jump Shot,Missed Shot,Jump Shot,-147,235,28,1,3.0,0.0,h
S2425-G0124,3,09:38,MEM,,BKN,,J. Morant,MEM,MISS Morant 14' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,-54,133,14,1,2.0,0.0,h
S2425-G0124,3,09:26,MEM,,BKN,,J. Morant,MEM,Morant REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0124,3,08:30,MEM,66.0,BKN,78.0,J. Morant,MEM,Morant 6' Driving Finger Roll Layup (8 PTS),Made Shot,Driving Finger Roll Layup Shot,-18,53,6,1,2.0,2.0,h
S2425-G0124,3,07:27,MEM,,BKN,,J. Morant,MEM,MISS Morant 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,22,99,10,1,2.0,0.0,h
S2425-G0124,3,06:04,MEM,,BKN,,J. Morant,MEM,Morant REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0124,3,04:56,MEM,81.0,BKN,83.0,J. Morant,MEM,Morant 27' 3PT Running Pull-Up Jump Shot (11 PTS),Made Shot,Running Pull-Up Jump Shot,114,242,27,1,3.0,3.0,h
S2425-G0124,3,04:24,MEM,,BKN,,J. Morant,MEM,Morant REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0124,3,04:08,MEM,,BKN,,J. Morant,MEM,MISS Morant 4' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,29,25,4,1,2.0,0.0,h
S2425-G0124,3,04:07,MEM,,BKN,,J. Morant,MEM,Morant REBOUND (Off:2 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0124,3,03:32,MEM,,BKN,,J. Morant,MEM,Morant REBOUND (Off:2 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2425-G0124,3,03:12,MEM,,BKN,,J. Morant,MEM,Morant Traveling Turnover (P5.T19),Turnover,Traveling,0,0,0,0,,,h
S2425-G0124,3,02:54,MEM,,BKN,,J. Morant,MEM,SUB: Pippen Jr. FOR Morant,Substitution,,0,0,0,0,,,h
S2425-G0124,3,00:32.300000,MEM,87.0,BKN,91.0,J. Morant,MEM,Morant 2' Driving Layup (13 PTS),Made Shot,Driving Layup Shot,16,13,2,1,2.0,2.0,h
S2425-G0124,3,00:28.300000,MEM,,BKN,,J. Morant,MEM,"Double Technical - Morant, K. Johnson (A.Smith)",Foul,Double Technical,0,0,0,0,,,
S2425-G0124,4,09:52,MEM,,BKN,,J. Morant,MEM,MISS Morant 7' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,-40,53,7,1,2.0,0.0,h
S2425-G0124,4,09:38,MEM,,BKN,,J. Morant,MEM,MISS Morant Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0124,4,09:38,MEM,93.0,BKN,98.0,J. Morant,MEM,Morant Free Throw 2 of 2 (14 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0124,4,09:20,MEM,,BKN,,J. Morant,MEM,SUB: Pippen Jr. FOR Morant,Substitution,,0,0,0,0,,,h
S2425-G0124,4,02:18,MEM,,BKN,,J. Morant,MEM,MISS Morant 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,55,248,25,1,3.0,0.0,h
S2425-G0124,4,01:38,MEM,,BKN,,J. Morant,MEM,Morant P.FOUL (P3.T4) (A.Smith),Foul,Personal,0,0,0,0,,,h
S2425-G0124,4,01:18,MEM,,BKN,,J. Morant,MEM,SUB: Kawamura FOR Morant,Substitution,,0,0,0,0,,,h
