game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0106,1,06:18,NYK,,CLE,,C. LeVert,CLE,LeVert Lost Ball Turnover (P1.T3),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0106,1,04:49,NYK,,CLE,,C. LeVert,CLE,MISS LeVert 25' 3PT Jump Shot,Missed Shot,Jump Shot,-18,253,25,1,3.0,0.0,v
S2425-G0106,1,04:09,NYK,,CLE,,C. LeVert,CLE,LeVert REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0106,1,03:43,NYK,,CLE,,C. LeVert,CLE,LeVert STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0106,2,00:00,NYK,,CLE,,C. LeVert,CLE,MISS LeVert 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,150,196,25,1,3.0,0.0,v
S2425-G0106,3,05:41,NYK,,CLE,,C. LeVert,CLE,LeVert REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0106,3,04:51,NYK,69.0,CLE,59.0,C. LeVert,CLE,LeVert 2' Cutting Layup Shot (2 PTS) (Niang 1 AST),Made Shot,Cutting Layup Shot,-5,16,2,1,2.0,2.0,v
S2425-G0106,3,03:16,NYK,,CLE,,C. LeVert,CLE,LeVert STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0106,3,03:14,NYK,,CLE,,C. LeVert,CLE,MISS LeVert Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0106,3,03:14,NYK,74.0,CLE,66.0,C. LeVert,CLE,LeVert Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0106,3,01:58,NYK,,CLE,,C. LeVert,CLE,MISS LeVert 3' Layup,Missed Shot,Layup Shot,-12,22,3,1,2.0,0.0,v
S2425-G0106,3,01:24,NYK,,CLE,,C. LeVert,CLE,LeVert REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0106,3,00:02,NYK,78.0,CLE,73.0,C. LeVert,CLE,LeVert Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0106,3,00:02,NYK,78.0,CLE,74.0,C. LeVert,CLE,LeVert Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0106,4,08:31,NYK,,CLE,,C. LeVert,CLE,SUB: Wade FOR LeVert,Substitution,,0,0,0,0,,,v
S2425-G0106,4,04:45,NYK,,CLE,,C. LeVert,CLE,LeVert L.B.FOUL (P1.PN) (S.Corbin),Foul,Loose Ball,0,0,0,0,,,v
S2425-G0106,4,02:18,NYK,,CLE,,C. LeVert,CLE,LeVert REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0106,4,01:46,NYK,,CLE,,C. LeVert,CLE,LeVert Bad Pass Turnover (P2.T13),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0106,4,01:43,NYK,,CLE,,C. LeVert,CLE,SUB: Wade FOR LeVert,Substitution,,0,0,0,0,,,v
S2425-G0106,4,01:25,NYK,,CLE,,C. LeVert,CLE,SUB: Wade FOR LeVert,Substitution,,0,0,0,0,,,v
S2425-G0106,4,00:34.700000,NYK,,CLE,,C. LeVert,CLE,SUB: Wade FOR LeVert,Substitution,,0,0,0,0,,,v
S2425-G0080,1,02:27,CLE,,DET,,C. LeVert,CLE,MISS LeVert Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0080,1,02:27,CLE,,DET,,C. LeVert,CLE,MISS LeVert Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0080,2,03:09,CLE,,DET,,C. LeVert,CLE,LeVert STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0080,2,03:00,CLE,57.0,DET,51.0,C. LeVert,CLE,LeVert 3PT Jump Shot (3 PTS) (Garland 3 AST),Made Shot,Jump Shot,-229,16,0,1,3.0,3.0,h
S2425-G0080,2,01:35,CLE,,DET,,C. LeVert,CLE,LeVert STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0080,2,01:32,CLE,,DET,,C. LeVert,CLE,LeVert REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0080,2,00:57.200000,CLE,61.0,DET,53.0,C. LeVert,CLE,LeVert 1' Cutting Layup Shot (5 PTS) (Garland 4 AST),Made Shot,Cutting Layup Shot,10,5,1,1,2.0,2.0,h
S2425-G0080,2,00:43.400000,CLE,,DET,,C. LeVert,CLE,LeVert REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0080,2,00:34,CLE,,DET,,C. LeVert,CLE,MISS LeVert 26' 3PT Jump Shot,Missed Shot,Jump Shot,-104,238,26,1,3.0,0.0,h
S2425-G0080,3,06:28,CLE,,DET,,C. LeVert,CLE,LeVert REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0080,3,05:34,CLE,79.0,DET,68.0,C. LeVert,CLE,LeVert 1' Running Dunk (7 PTS) (Garland 6 AST),Made Shot,Running Dunk Shot,-7,3,1,1,2.0,2.0,h
S2425-G0080,3,05:32,CLE,,DET,,C. LeVert,CLE,LeVert T.FOUL (P0.T3) (E.Malloy),Foul,Technical,0,0,0,0,,,h
S2425-G0080,3,04:56,CLE,81.0,DET,70.0,C. LeVert,CLE,LeVert 10' Turnaround Fadeaway (9 PTS) (Wade 1 AST),Made Shot,Turnaround Fadeaway shot,-94,24,10,1,2.0,2.0,h
S2425-G0080,3,02:07,CLE,,DET,,C. LeVert,CLE,MISS LeVert 1' Driving Layup,Missed Shot,Driving Layup Shot,-6,11,1,1,2.0,0.0,h
S2425-G0080,3,01:34,CLE,,DET,,C. LeVert,CLE,LeVert BLOCK (1 BLK),,,0,0,0,0,,,h
