game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0106,1,04:39,NYK,,CLE,,S. Merrill,CLE,Merrill STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0106,1,03:02,NYK,,CLE,,S. Merrill,CLE,MISS Merrill 3PT Jump Shot,Missed Shot,Jump Shot,-229,44,0,1,3.0,0.0,v
S2425-G0106,1,02:30,NYK,10.0,CLE,17.0,S. Merrill,CLE,Merrill 26' 3PT Running Jump Shot (3 PTS) (Mitchell 1 AST),Made Shot,Running Jump Shot,158,212,26,1,3.0,3.0,v
S2425-G0106,1,01:28,NYK,,CLE,,S. Merrill,CLE,MISS Merrill 26' 3PT Jump Shot,Missed Shot,Jump Shot,32,254,26,1,3.0,0.0,v
S2425-G0106,1,00:14.700000,NYK,,CLE,,S. Merrill,CLE,SUB: Wade FOR Merrill,Substitution,,0,0,0,0,,,v
S2425-G0106,2,10:10,NYK,,CLE,,S. Merrill,CLE,SUB: Jerome FOR Merrill,Substitution,,0,0,0,0,,,v
S2425-G0106,3,06:24,NYK,64.0,CLE,57.0,S. Merrill,CLE,Merrill 3PT Jump Shot (6 PTS) (Garland 2 AST),Made Shot,Jump Shot,-233,-7,0,1,3.0,3.0,v
S2425-G0106,3,06:04,NYK,,CLE,,S. Merrill,CLE,Merrill S.FOUL (P1.T3) (S.Corbin),Foul,Shooting,0,0,0,0,,,v
S2425-G0106,3,05:45,NYK,,CLE,,S. Merrill,CLE,MISS Merrill 26' 3PT Jump Shot,Missed Shot,Jump Shot,102,241,26,1,3.0,0.0,v
S2425-G0106,3,02:24,NYK,,CLE,,S. Merrill,CLE,Merrill REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0106,3,00:02,NYK,,CLE,,S. Merrill,CLE,SUB: Allen FOR Merrill,Substitution,,0,0,0,0,,,v
S2425-G0106,4,10:14,NYK,,CLE,,S. Merrill,CLE,Merrill P.FOUL (P2.T1) (R.Hussey),Foul,Personal,0,0,0,0,,,v
S2425-G0106,4,09:57,NYK,,CLE,,S. Merrill,CLE,Merrill REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0106,4,06:12,NYK,,CLE,,S. Merrill,CLE,Merrill S.FOUL (P3.PN) (R.Hussey),Foul,Shooting,0,0,0,0,,,v
S2425-G0106,4,06:12,NYK,,CLE,,S. Merrill,CLE,SUB: LeVert FOR Merrill,Substitution,,0,0,0,0,,,v
S2425-G0080,1,03:33,CLE,,DET,,S. Merrill,CLE,Merrill REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0080,1,02:17,CLE,,DET,,S. Merrill,CLE,Merrill STEAL (1 STL),,,0,0,0,0,,,h
