game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0147,2,06:29,WAS,,MIA,,J. Poole,WAS,Poole BLOCK (2 BLK),,,0,0,0,0,,,h
S2425-G0147,2,06:23,WAS,34.0,MIA,44.0,J. Poole,WAS,Poole 3PT Running Jump Shot (9 PTS) (George 1 AST),Made Shot,Running Jump Shot,-227,5,0,1,3.0,3.0,h
S2425-G0147,2,05:38,WAS,,MIA,,J. Poole,WAS,MISS Poole 16' Pullup Jump Shot,Missed Shot,Pullup Jump shot,67,141,16,1,2.0,0.0,h
S2425-G0147,2,04:07,WAS,,MIA,,J. Poole,WAS,Poole P.FOUL (P1.T4) (A.Nagy),Foul,Personal,0,0,0,0,,,h
S2425-G0147,2,02:57,WAS,,MIA,,J. Poole,WAS,MISS Poole 28' 3PT Jump Shot,Missed Shot,Jump Shot,-137,248,28,1,3.0,0.0,h
S2425-G0147,2,00:54.100000,WAS,46.0,MIA,56.0,J. Poole,WAS,Poole 29' 3PT Running Jump Shot (12 PTS) (Carrington 6 AST),Made Shot,Running Jump Shot,196,210,29,1,3.0,3.0,h
S2425-G0147,3,11:41,WAS,,MIA,,J. Poole,WAS,MISS Poole 27' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-34,268,27,1,3.0,0.0,h
S2425-G0147,3,10:07,WAS,,MIA,,J. Poole,WAS,MISS Poole 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,235,13,24,1,3.0,0.0,h
S2425-G0147,3,09:34,WAS,53.0,MIA,65.0,J. Poole,WAS,Poole 1' Driving Layup (14 PTS),Made Shot,Driving Layup Shot,12,6,1,1,2.0,2.0,h
S2425-G0147,3,09:21,WAS,54.0,MIA,65.0,J. Poole,WAS,Poole Free Throw 1 of 2 (15 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0147,3,09:21,WAS,55.0,MIA,65.0,J. Poole,WAS,Poole Free Throw 2 of 2 (16 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0147,3,08:54,WAS,,MIA,,J. Poole,WAS,Poole Bad Pass Turnover (P2.T7),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0147,3,06:44,WAS,,MIA,,J. Poole,WAS,Poole OFF.Foul (P2) (T.Brothers),Foul,Offensive,0,0,0,0,,,h
S2425-G0147,3,06:44,WAS,,MIA,,J. Poole,WAS,Poole Offensive Foul Turnover (P3.T8),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2425-G0147,3,06:19,WAS,,MIA,,J. Poole,WAS,Poole Bad Pass Turnover (P4.T9),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0147,3,06:14,WAS,,MIA,,J. Poole,WAS,Poole S.FOUL (P3.T4) (A.Nagy),Foul,Shooting,0,0,0,0,,,h
S2425-G0147,3,06:14,WAS,,MIA,,J. Poole,WAS,SUB: George FOR Poole,Substitution,,0,0,0,0,,,h
S2425-G0147,4,10:55,WAS,71.0,MIA,92.0,J. Poole,WAS,Poole Free Throw 1 of 2 (17 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0147,4,10:55,WAS,,MIA,,J. Poole,WAS,MISS Poole Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0147,4,10:46,WAS,,MIA,,J. Poole,WAS,Poole P.FOUL (P4.T2) (S.Corbin),Foul,Personal,0,0,0,0,,,h
S2425-G0147,4,07:11,WAS,81.0,MIA,99.0,J. Poole,WAS,Poole 12' Pullup Jump Shot (19 PTS),Made Shot,Pullup Jump shot,62,106,12,1,2.0,2.0,h
S2425-G0147,4,05:47,WAS,,MIA,,J. Poole,WAS,MISS Poole 3' Driving Layup,Missed Shot,Driving Layup Shot,-29,5,3,1,2.0,0.0,h
S2425-G0147,4,04:18,WAS,,MIA,,J. Poole,WAS,MISS Poole 13' Pullup Jump Shot,Missed Shot,Pullup Jump shot,102,85,13,1,2.0,0.0,h
S2425-G0147,4,03:50,WAS,89.0,MIA,106.0,J. Poole,WAS,Poole 2' Driving Layup (21 PTS),Made Shot,Driving Layup Shot,15,4,2,1,2.0,2.0,h
S2425-G0147,4,03:16,WAS,,MIA,,J. Poole,WAS,SUB: Holmes FOR Poole,Substitution,,0,0,0,0,,,h
S2425-G0204,1,11:43,ORL,,WAS,,J. Poole,WAS,MISS Poole 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,169,189,25,1,3.0,0.0,v
S2425-G0204,1,09:41,ORL,5.0,WAS,4.0,J. Poole,WAS,Poole 3' Driving Layup (2 PTS) (Carrington 1 AST),Made Shot,Driving Layup Shot,-18,20,3,1,2.0,2.0,v
S2425-G0204,1,09:13,ORL,,WAS,,J. Poole,WAS,MISS Poole 29' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,140,257,29,1,3.0,0.0,v
S2425-G0204,1,06:23,ORL,,WAS,,J. Poole,WAS,SUB: Kispert FOR Poole,Substitution,,0,0,0,0,,,v
S2425-G0204,2,10:53,ORL,,WAS,,J. Poole,WAS,MISS Poole 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-233,17,0,1,3.0,0.0,v
S2425-G0204,2,10:28,ORL,29.0,WAS,28.0,J. Poole,WAS,Poole 26' 3PT Step Back Jump Shot (5 PTS),Made Shot,Step Back Jump shot,-194,179,26,1,3.0,3.0,v
S2425-G0204,2,10:15,ORL,,WAS,,J. Poole,WAS,Poole P.FOUL (P1.T2) (M.Kallio),Foul,Personal,0,0,0,0,,,v
S2425-G0204,2,09:47,ORL,29.0,WAS,31.0,J. Poole,WAS,Poole 29' 3PT Pullup Jump Shot (8 PTS),Made Shot,Pullup Jump shot,-142,254,29,1,3.0,3.0,v
S2425-G0204,2,08:41,ORL,,WAS,,J. Poole,WAS,MISS Poole 7' Driving Layup,Missed Shot,Driving Layup Shot,10,71,7,1,2.0,0.0,v
S2425-G0204,2,08:06,ORL,37.0,WAS,33.0,J. Poole,WAS,Poole Free Throw 1 of 2 (9 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0204,2,08:06,ORL,37.0,WAS,34.0,J. Poole,WAS,Poole Free Throw 2 of 2 (10 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0204,2,07:43,ORL,40.0,WAS,36.0,J. Poole,WAS,Poole 13' Driving Floating Jump Shot (12 PTS),Made Shot,Driving Floating Jump Shot,0,131,13,1,2.0,2.0,v
S2425-G0204,2,07:24,ORL,,WAS,,J. Poole,WAS,MISS Poole 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,9,256,26,1,3.0,0.0,v
S2425-G0204,2,06:46,ORL,,WAS,,J. Poole,WAS,Poole REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0204,2,06:44,ORL,,WAS,,J. Poole,WAS,SUB: Carrington FOR Poole,Substitution,,0,0,0,0,,,v
S2425-G0204,2,01:31,ORL,,WAS,,J. Poole,WAS,Poole Out of Bounds Lost Ball Turnover (P1.T7),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,v
S2425-G0204,2,00:32.200000,ORL,61.0,WAS,56.0,J. Poole,WAS,Poole 32' 3PT Pullup Jump Shot (15 PTS),Made Shot,Pullup Jump shot,105,306,32,1,3.0,3.0,v
S2425-G0204,2,00:04.300000,ORL,,WAS,,J. Poole,WAS,Poole REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0204,3,11:18,ORL,,WAS,,J. Poole,WAS,Poole P.FOUL (P2.T1) (G.Petraitis),Foul,Personal,0,0,0,0,,,v
S2425-G0204,3,10:27,ORL,,WAS,,J. Poole,WAS,Poole P.FOUL (P3.T2) (G.Petraitis),Foul,Personal,0,0,0,0,,,v
S2425-G0204,3,08:41,ORL,,WAS,,J. Poole,WAS,Poole Transition Take Foul (P4.T4) (B.Barnaky),Foul                                    ,Transition Take,0,0,0,0,,,v
S2425-G0204,3,08:41,ORL,,WAS,,J. Poole,WAS,SUB: Kispert FOR Poole,Substitution,,0,0,0,0,,,v
S2425-G0204,3,06:13,ORL,77.0,WAS,64.0,J. Poole,WAS,Poole 8' Driving Floating Jump Shot (17 PTS),Made Shot,Driving Floating Jump Shot,-60,51,8,1,2.0,2.0,v
S2425-G0204,3,04:58,ORL,,WAS,,J. Poole,WAS,MISS Poole 9' Driving Layup,Missed Shot,Driving Layup Shot,-66,66,9,1,2.0,0.0,v
S2425-G0204,3,03:52,ORL,,WAS,,J. Poole,WAS,Poole REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0204,3,03:41,ORL,,WAS,,J. Poole,WAS,MISS Poole 9' Driving Layup,Missed Shot,Driving Layup Shot,51,73,9,1,2.0,0.0,v
S2425-G0204,3,03:05,ORL,83.0,WAS,68.0,J. Poole,WAS,Poole 3' Driving Layup (19 PTS) (Kispert 1 AST),Made Shot,Driving Layup Shot,20,19,3,1,2.0,2.0,v
S2425-G0204,3,01:11,ORL,,WAS,,J. Poole,WAS,Poole Traveling Turnover (P2.T14),Turnover,Traveling,0,0,0,0,,,v
S2425-G0204,3,00:35.900000,ORL,,WAS,,J. Poole,WAS,SUB: Butler FOR Poole,Substitution,,0,0,0,0,,,v
S2425-G0204,4,10:48,ORL,,WAS,,J. Poole,WAS,MISS Poole Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0204,4,10:48,ORL,96.0,WAS,75.0,J. Poole,WAS,Poole Free Throw 2 of 2 (20 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0204,4,08:58,ORL,,WAS,,J. Poole,WAS,Poole REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0204,4,08:56,ORL,,WAS,,J. Poole,WAS,MISS Poole 25' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,0,246,25,1,3.0,0.0,v
S2425-G0204,4,08:44,ORL,,WAS,,J. Poole,WAS,MISS Poole 27' 3PT Jump Shot,Missed Shot,Jump Shot,121,245,27,1,3.0,0.0,v
S2425-G0204,4,08:18,ORL,98.0,WAS,78.0,J. Poole,WAS,Poole 4' Driving Layup (22 PTS),Made Shot,Driving Layup Shot,-36,26,4,1,2.0,2.0,v
S2425-G0204,4,07:49,ORL,,WAS,,J. Poole,WAS,MISS Poole 5' Driving Layup,Missed Shot,Driving Layup Shot,40,35,5,1,2.0,0.0,v
S2425-G0204,4,05:29,ORL,108.0,WAS,84.0,J. Poole,WAS,Poole Free Throw 1 of 2 (23 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0204,4,05:29,ORL,108.0,WAS,85.0,J. Poole,WAS,Poole Free Throw 2 of 2 (24 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0204,4,05:03,ORL,,WAS,,J. Poole,WAS,MISS Poole 27' 3PT Jump Shot,Missed Shot,Jump Shot,-126,235,27,1,3.0,0.0,v
S2425-G0204,4,04:49,ORL,,WAS,,J. Poole,WAS,SUB: Butler FOR Poole,Substitution,,0,0,0,0,,,v
S2425-G0121,1,09:13,WAS,,ATL,,J. Poole,WAS,MISS Poole 27' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-188,200,27,1,3.0,0.0,h
S2425-G0121,1,07:20,WAS,,ATL,,J. Poole,WAS,Poole Lost Ball Turnover (P1.T3),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0121,1,06:34,WAS,,ATL,,J. Poole,WAS,Poole STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0121,1,05:25,WAS,,ATL,,J. Poole,WAS,Poole Bad Pass Turnover (P2.T4),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0121,1,04:42,WAS,,ATL,,J. Poole,WAS,MISS Poole 2' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,6,21,2,1,2.0,0.0,h
S2425-G0121,1,04:22,WAS,26.0,ATL,19.0,J. Poole,WAS,Poole 2' Driving Finger Roll Layup (2 PTS),Made Shot,Driving Finger Roll Layup Shot,-12,20,2,1,2.0,2.0,h
S2425-G0121,1,04:13,WAS,,ATL,,J. Poole,WAS,Poole S.FOUL (P1.T4) (S.Wright),Foul,Shooting,0,0,0,0,,,h
S2425-G0121,1,04:13,WAS,,ATL,,J. Poole,WAS,SUB: Butler FOR Poole,Substitution,,0,0,0,0,,,h
S2425-G0121,2,06:57,WAS,,ATL,,J. Poole,WAS,MISS Poole 3' Reverse Layup,Missed Shot,Reverse Layup Shot,-27,5,3,1,2.0,0.0,h
S2425-G0121,2,06:16,WAS,39.0,ATL,48.0,J. Poole,WAS,Poole Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0121,2,06:16,WAS,40.0,ATL,48.0,J. Poole,WAS,Poole Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0121,2,05:39,WAS,43.0,ATL,50.0,J. Poole,WAS,Poole 33' 3PT Pullup Jump Shot (7 PTS) (Valančiūnas 2 AST),Made Shot,Pullup Jump shot,-202,259,33,1,3.0,3.0,h
S2425-G0121,2,05:17,WAS,46.0,ATL,52.0,J. Poole,WAS,Poole 28' 3PT Pullup Jump Shot (10 PTS) (Valančiūnas 3 AST),Made Shot,Pullup Jump shot,-76,265,28,1,3.0,3.0,h
S2425-G0121,2,03:59,WAS,49.0,ATL,57.0,J. Poole,WAS,Poole 27' 3PT Step Back Jump Shot (13 PTS),Made Shot,Step Back Jump shot,234,136,27,1,3.0,3.0,h
S2425-G0121,2,01:44,WAS,,ATL,,J. Poole,WAS,Poole Out of Bounds - Bad Pass Turnover Turnover (P3.T11),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0121,2,00:02,WAS,,ATL,,J. Poole,WAS,"Double Technical - Poole, Risacher (G.Petraitis)",Foul,Double Technical,0,0,0,0,,,
S2425-G0121,2,00:02,WAS,,ATL,,J. Poole,WAS,SUB: Gill FOR Poole,Substitution,,0,0,0,0,,,h
S2425-G0121,3,11:34,WAS,,ATL,,J. Poole,WAS,Poole REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,3,11:31,WAS,60.0,ATL,65.0,J. Poole,WAS,Poole Free Throw Technical (14 PTS),Free Throw,Free Throw Technical,0,0,0,0,1.0,1.0,h
S2425-G0121,3,11:15,WAS,,ATL,,J. Poole,WAS,Poole STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0121,3,11:02,WAS,,ATL,,J. Poole,WAS,Poole Lost Ball Turnover (P4.T12),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0121,3,09:38,WAS,,ATL,,J. Poole,WAS,MISS Poole 12' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,66,103,12,1,2.0,0.0,h
S2425-G0121,3,09:21,WAS,,ATL,,J. Poole,WAS,MISS Poole 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-212,157,26,1,3.0,0.0,h
S2425-G0121,3,08:43,WAS,,ATL,,J. Poole,WAS,MISS Poole 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,11,151,15,1,2.0,0.0,h
S2425-G0121,3,08:40,WAS,,ATL,,J. Poole,WAS,Poole REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,3,08:04,WAS,,ATL,,J. Poole,WAS,Poole P.FOUL (P2.T2) (S.Wright),Foul,Personal,0,0,0,0,,,h
S2425-G0121,3,07:04,WAS,,ATL,,J. Poole,WAS,MISS Poole 6' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,22,53,6,1,2.0,0.0,h
S2425-G0121,3,06:48,WAS,70.0,ATL,77.0,J. Poole,WAS,Poole 2' Driving Layup (16 PTS) (Carrington 2 AST),Made Shot,Driving Layup Shot,-17,5,2,1,2.0,2.0,h
S2425-G0121,3,06:36,WAS,71.0,ATL,77.0,J. Poole,WAS,Poole Free Throw Technical (17 PTS),Free Throw,Free Throw Technical,0,0,0,0,1.0,1.0,h
S2425-G0121,3,06:25,WAS,,ATL,,J. Poole,WAS,MISS Poole 28' 3PT Jump Shot,Missed Shot,Jump Shot,201,192,28,1,3.0,0.0,h
S2425-G0121,3,04:28,WAS,,ATL,,J. Poole,WAS,Poole L.B.FOUL (P3.T3) (G.Petraitis),Foul,Loose Ball,0,0,0,0,,,h
S2425-G0121,3,04:11,WAS,80.0,ATL,82.0,J. Poole,WAS,Poole 29' 3PT Pullup Jump Shot (20 PTS),Made Shot,Pullup Jump shot,-156,246,29,1,3.0,3.0,h
S2425-G0121,3,03:06,WAS,,ATL,,J. Poole,WAS,MISS Poole 13' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,120,41,13,1,2.0,0.0,h
S2425-G0121,3,02:43,WAS,,ATL,,J. Poole,WAS,Poole REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,3,01:09,WAS,,ATL,,J. Poole,WAS,MISS Poole 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-77,247,26,1,3.0,0.0,h
S2425-G0121,4,05:26,WAS,,ATL,,J. Poole,WAS,MISS Poole 24' 3PT Jump Shot,Missed Shot,Jump Shot,240,-5,24,1,3.0,0.0,h
S2425-G0121,4,05:04,WAS,120.0,ATL,106.0,J. Poole,WAS,Poole Free Throw 1 of 2 (21 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0121,4,05:04,WAS,121.0,ATL,106.0,J. Poole,WAS,Poole Free Throw 2 of 2 (22 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0121,4,04:18,WAS,124.0,ATL,109.0,J. Poole,WAS,Poole Free Throw 1 of 2 (23 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0121,4,04:18,WAS,125.0,ATL,109.0,J. Poole,WAS,Poole Free Throw 2 of 2 (24 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0121,4,03:40,WAS,,ATL,,J. Poole,WAS,Poole STEAL (3 STL),,,0,0,0,0,,,h
S2425-G0121,4,03:10,WAS,,ATL,,J. Poole,WAS,Poole P.FOUL (P4.PN) (G.Petraitis),Foul,Personal,0,0,0,0,,,h
S2425-G0121,4,01:21,WAS,,ATL,,J. Poole,WAS,Poole Lost Ball Turnover (P5.T15),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0121,4,00:47.800000,WAS,,ATL,,J. Poole,WAS,SUB: George FOR Poole,Substitution,,0,0,0,0,,,h
S2425-G0073,1,11:09,WAS,3.0,BOS,3.0,J. Poole,WAS,Poole 27' 3PT Step Back Jump Shot (3 PTS),Made Shot,Step Back Jump shot,202,178,27,1,3.0,3.0,h
S2425-G0073,1,10:52,WAS,,BOS,,J. Poole,WAS,MISS Poole 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-105,236,26,1,3.0,0.0,h
S2425-G0073,1,10:30,WAS,,BOS,,J. Poole,WAS,Poole STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0073,1,09:59,WAS,5.0,BOS,5.0,J. Poole,WAS,Poole 2' Running Layup (5 PTS),Made Shot,Running Layup Shot,18,5,2,1,2.0,2.0,h
S2425-G0073,1,09:32,WAS,,BOS,,J. Poole,WAS,Poole STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0073,1,08:19,WAS,10.0,BOS,12.0,J. Poole,WAS,Poole 25' 3PT Jump Shot (8 PTS) (Coulibaly 1 AST),Made Shot,Jump Shot,178,181,25,1,3.0,3.0,h
S2425-G0073,1,07:09,WAS,15.0,BOS,12.0,J. Poole,WAS,Poole 26' 3PT Step Back Jump Shot (11 PTS) (Kuzma 1 AST),Made Shot,Step Back Jump shot,110,235,26,1,3.0,3.0,h
S2425-G0073,1,05:56,WAS,19.0,BOS,12.0,J. Poole,WAS,Poole 27' 3PT Running Jump Shot (14 PTS),Made Shot,Running Jump Shot,-153,220,27,1,3.0,3.0,h
S2425-G0073,1,05:24,WAS,,BOS,,J. Poole,WAS,Poole Out of Bounds - Bad Pass Turnover Turnover (P1.T3),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0073,1,05:05,WAS,22.0,BOS,14.0,J. Poole,WAS,Poole 24' 3PT Pullup Jump Shot (17 PTS) (Kispert 1 AST),Made Shot,Pullup Jump shot,-238,-9,24,1,3.0,3.0,h
S2425-G0073,1,03:53,WAS,,BOS,,J. Poole,WAS,SUB: Carrington FOR Poole,Substitution,,0,0,0,0,,,h
S2425-G0073,1,00:00.600000,WAS,,BOS,,J. Poole,WAS,MISS Poole 25' 3PT Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,235,94,25,1,3.0,0.0,h
S2425-G0073,2,09:26,WAS,,BOS,,J. Poole,WAS,Poole Bad Pass Turnover (P2.T8),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0073,2,05:56,WAS,,BOS,,J. Poole,WAS,MISS Poole 2' Driving Layup,Missed Shot,Driving Layup Shot,-15,16,2,1,2.0,0.0,h
S2425-G0073,2,05:24,WAS,51.0,BOS,49.0,J. Poole,WAS,Poole 25' 3PT Step Back Jump Shot (20 PTS),Made Shot,Step Back Jump shot,221,112,25,1,3.0,3.0,h
S2425-G0073,2,03:55,WAS,,BOS,,J. Poole,WAS,Poole STEAL (3 STL),,,0,0,0,0,,,h
S2425-G0073,2,03:19,WAS,,BOS,,J. Poole,WAS,MISS Poole 30' 3PT Jump Shot,Missed Shot,Jump Shot,-125,274,30,1,3.0,0.0,h
S2425-G0073,3,10:55,WAS,,BOS,,J. Poole,WAS,MISS Poole 29' 3PT Jump Shot,Missed Shot,Jump Shot,-26,292,29,1,3.0,0.0,h
S2425-G0073,3,10:49,WAS,,BOS,,J. Poole,WAS,Poole S.FOUL (P1.T1) (J.Reneau),Foul,Shooting,0,0,0,0,,,h
S2425-G0073,3,09:15,WAS,58.0,BOS,73.0,J. Poole,WAS,Poole 7' Driving Floating Jump Shot (22 PTS) (Sarr 1 AST),Made Shot,Driving Floating Jump Shot,-45,47,7,1,2.0,2.0,h
S2425-G0073,3,08:44,WAS,,BOS,,J. Poole,WAS,Poole BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0073,3,08:23,WAS,,BOS,,J. Poole,WAS,MISS Poole 27' 3PT Jump Shot,Missed Shot,Jump Shot,185,197,27,1,3.0,0.0,h
S2425-G0073,3,08:11,WAS,,BOS,,J. Poole,WAS,Poole S.FOUL (P2.T3) (J.Capers),Foul,Shooting,0,0,0,0,,,h
S2425-G0073,3,07:53,WAS,,BOS,,J. Poole,WAS,Poole Bad Pass Turnover (P3.T11),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0073,3,05:57,WAS,,BOS,,J. Poole,WAS,MISS Poole 5' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,48,22,5,1,2.0,0.0,h
S2425-G0073,3,04:48,WAS,,BOS,,J. Poole,WAS,Poole STEAL (4 STL),,,0,0,0,0,,,h
S2425-G0073,3,04:27,WAS,,BOS,,J. Poole,WAS,Poole REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0073,3,04:22,WAS,66.0,BOS,85.0,J. Poole,WAS,Poole 4' Driving Floating Jump Shot (24 PTS),Made Shot,Driving Floating Jump Shot,-44,8,4,1,2.0,2.0,h
S2425-G0073,3,03:51,WAS,,BOS,,J. Poole,WAS,SUB: Carrington FOR Poole,Substitution,,0,0,0,0,,,h
S2425-G0073,4,10:41,WAS,,BOS,,J. Poole,WAS,Poole Out of Bounds - Bad Pass Turnover Turnover (P4.T14),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0073,4,10:08,WAS,76.0,BOS,107.0,J. Poole,WAS,Poole Free Throw 1 of 2 (25 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0073,4,10:08,WAS,77.0,BOS,107.0,J. Poole,WAS,Poole Free Throw 2 of 2 (26 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0073,4,09:55,WAS,,BOS,,J. Poole,WAS,Poole P.FOUL (P3.T1) (J.Capers),Foul,Personal,0,0,0,0,,,h
S2425-G0073,4,09:36,WAS,,BOS,,J. Poole,WAS,MISS Poole 2' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,23,9,2,1,2.0,0.0,h
S2425-G0073,4,08:04,WAS,,BOS,,J. Poole,WAS,SUB: Butler FOR Poole,Substitution,,0,0,0,0,,,h
S2425-G0012,1,11:42,ATL,,WAS,,J. Poole,WAS,Poole REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0012,1,11:21,ATL,,WAS,,J. Poole,WAS,Poole Traveling Turnover (P1.T1),Turnover,Traveling,0,0,0,0,,,v
S2425-G0012,1,10:32,ATL,5.0,WAS,2.0,J. Poole,WAS,Poole 4' Cutting Layup Shot (2 PTS) (Sarr 1 AST),Made Shot,Cutting Layup Shot,21,34,4,1,2.0,2.0,v
