game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0062,1,11:32,LAL,,MIN,,A. Edwards,MIN,MISS Edwards 27' 3PT Jump Shot,Missed Shot,Jump Shot,-89,253,27,1,3.0,0.0,v
S2425-G0062,1,09:57,LAL,5.0,MIN,5.0,A. Edwards,MIN,Edwards 24' 3PT Jump Shot (3 PTS) (Randle 2 AST),Made Shot,Jump Shot,-184,158,24,1,3.0,3.0,v
S2425-G0062,1,06:06,LAL,,MIN,,A. Edwards,MIN,MISS Edwards 28' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,43,272,28,1,3.0,0.0,v
S2425-G0062,1,05:54,LAL,13.0,MIN,10.0,A. Edwards,MIN,Edwards 26' 3PT Step Back Jump Shot (6 PTS),Made Shot,Step Back Jump shot,74,245,26,1,3.0,3.0,v
S2425-G0062,1,03:44,LAL,,MIN,,A. Edwards,MIN,Edwards Traveling Turnover (P1.T6),Turnover,Traveling,0,0,0,0,,,v
S2425-G0062,1,02:39,LAL,,MIN,,A. Edwards,MIN,Edwards REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,1,02:33,LAL,18.0,MIN,15.0,A. Edwards,MIN,Edwards 3' Running Layup (8 PTS),Made Shot,Running Layup Shot,15,29,3,1,2.0,2.0,v
S2425-G0062,1,01:27,LAL,,MIN,,A. Edwards,MIN,MISS Edwards 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-174,192,26,1,3.0,0.0,v
S2425-G0062,2,06:48,LAL,,MIN,,A. Edwards,MIN,Edwards S.FOUL (P1.T3) (J.Orr),Foul,Shooting,0,0,0,0,,,v
S2425-G0062,2,05:57,LAL,45.0,MIN,32.0,A. Edwards,MIN,Edwards 27' 3PT Step Back Jump Shot (11 PTS),Made Shot,Step Back Jump shot,-147,225,27,1,3.0,3.0,v
S2425-G0062,2,04:45,LAL,,MIN,,A. Edwards,MIN,Edwards REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,2,04:10,LAL,51.0,MIN,34.0,A. Edwards,MIN,Edwards 1' Driving Layup (13 PTS),Made Shot,Driving Layup Shot,0,10,1,1,2.0,2.0,v
S2425-G0062,2,04:10,LAL,51.0,MIN,35.0,A. Edwards,MIN,Edwards Free Throw 1 of 1 (14 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2425-G0062,2,02:41,LAL,,MIN,,A. Edwards,MIN,Edwards REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,2,02:32,LAL,,MIN,,A. Edwards,MIN,MISS Edwards 29' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-53,288,29,1,3.0,0.0,v
S2425-G0062,2,01:29,LAL,,MIN,,A. Edwards,MIN,MISS Edwards 18' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,-78,164,18,1,2.0,0.0,v
S2425-G0062,2,01:19,LAL,,MIN,,A. Edwards,MIN,Edwards P.FOUL (P2.T4) (N.Buchert),Foul,Personal,0,0,0,0,,,v
S2425-G0062,2,00:30.500000,LAL,,MIN,,A. Edwards,MIN,MISS Edwards 14' Step Back Jump Shot,Missed Shot,Step Back Jump shot,58,125,14,1,2.0,0.0,v
S2425-G0062,3,11:31,LAL,,MIN,,A. Edwards,MIN,MISS Edwards 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-180,202,27,1,3.0,0.0,v
S2425-G0062,3,10:44,LAL,,MIN,,A. Edwards,MIN,Edwards Out of Bounds - Bad Pass Turnover Turnover (P2.T12),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0062,3,10:09,LAL,,MIN,,A. Edwards,MIN,Edwards Bad Pass Turnover (P3.T13),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0062,3,09:42,LAL,60.0,MIN,47.0,A. Edwards,MIN,Edwards 24' 3PT Jump Shot (17 PTS) (Randle 3 AST),Made Shot,Jump Shot,-238,26,24,1,3.0,3.0,v
S2425-G0062,3,08:55,LAL,,MIN,,A. Edwards,MIN,Edwards Out of Bounds Lost Ball Turnover (P4.T14),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,v
S2425-G0062,3,08:38,LAL,,MIN,,A. Edwards,MIN,Edwards REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,3,07:22,LAL,,MIN,,A. Edwards,MIN,MISS Edwards 4' Driving Layup,Missed Shot,Driving Layup Shot,-26,27,4,1,2.0,0.0,v
S2425-G0062,3,04:53,LAL,,MIN,,A. Edwards,MIN,Edwards REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,3,03:00,LAL,,MIN,,A. Edwards,MIN,Edwards S.FOUL (P3.T4) (N.Buchert),Foul,Shooting,0,0,0,0,,,v
S2425-G0062,3,01:19,LAL,82.0,MIN,71.0,A. Edwards,MIN,Edwards 22' Step Back Jump Shot (19 PTS),Made Shot,Step Back Jump shot,-198,88,22,1,2.0,2.0,v
S2425-G0062,4,08:20,LAL,91.0,MIN,84.0,A. Edwards,MIN,Edwards 25' 3PT Pullup Jump Shot (22 PTS),Made Shot,Pullup Jump shot,-156,201,25,1,3.0,3.0,v
S2425-G0062,4,07:49,LAL,,MIN,,A. Edwards,MIN,Edwards REBOUND (Off:0 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,4,07:30,LAL,,MIN,,A. Edwards,MIN,MISS Edwards 3' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,1,31,3,1,2.0,0.0,v
S2425-G0062,4,07:25,LAL,,MIN,,A. Edwards,MIN,MISS Edwards 24' 3PT Jump Shot,Missed Shot,Jump Shot,225,84,24,1,3.0,0.0,v
S2425-G0062,4,06:52,LAL,,MIN,,A. Edwards,MIN,MISS Edwards 1' Finger Roll Layup,Missed Shot,Finger Roll Layup Shot,0,12,1,1,2.0,0.0,v
S2425-G0062,4,06:29,LAL,93.0,MIN,86.0,A. Edwards,MIN,Edwards 19' Step Back Jump Shot (24 PTS),Made Shot,Step Back Jump shot,-104,164,19,1,2.0,2.0,v
S2425-G0062,4,05:48,LAL,,MIN,,A. Edwards,MIN,MISS Edwards 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,108,109,15,1,2.0,0.0,v
S2425-G0062,4,05:22,LAL,97.0,MIN,88.0,A. Edwards,MIN,Edwards 3' Driving Layup (26 PTS),Made Shot,Driving Layup Shot,-2,27,3,1,2.0,2.0,v
S2425-G0062,4,02:23,LAL,,MIN,,A. Edwards,MIN,MISS Edwards 27' 3PT Jump Shot,Missed Shot,Jump Shot,146,228,27,1,3.0,0.0,v
S2425-G0062,4,01:58,LAL,,MIN,,A. Edwards,MIN,MISS Edwards 16' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-82,133,16,1,2.0,0.0,v
S2425-G0062,4,01:20,LAL,110.0,MIN,99.0,A. Edwards,MIN,Edwards Free Throw 1 of 2 (27 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0062,4,01:20,LAL,,MIN,,A. Edwards,MIN,MISS Edwards Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0062,4,00:50.200000,LAL,,MIN,,A. Edwards,MIN,MISS Edwards 27' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-87,253,27,1,3.0,0.0,v
S2425-G0193,1,11:19,MIN,1.0,POR,0.0,A. Edwards,MIN,Edwards Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
