game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0030,1,03:16,CLE,20.0,DET,24.0,M. Bagley III,DET,Bagley III 12' Jump Shot (2 PTS) (Hayes 1 AST),Made Shot,Jump Shot,7,120,12,1,2.0,2.0,v
S2324-G0030,1,00:49.900000,CLE,,DET,,M. Bagley III,DET,Bagley III STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0030,1,00:42.100000,CLE,29.0,DET,26.0,M. Bagley III,DET,Bagley III 1' Running Dunk (4 PTS) (Ivey 1 AST),Made Shot,Running Dunk Shot,0,13,1,1,2.0,2.0,v
S2324-G0030,2,10:52,CLE,37.0,DET,28.0,M. Bagley III,DET,Bagley III 10' Floating Jump Shot (6 PTS) (Cunningham 3 AST),Made Shot,Floating Jump shot,-36,97,10,1,2.0,2.0,v
S2324-G0030,2,08:04,CLE,,DET,,M. Bagley III,DET,SUB: Stewart FOR Bagley III,Substitution,,0,0,0,0,,,v
S2324-G0030,3,01:38,CLE,78.0,DET,72.0,M. Bagley III,DET,Bagley III Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0030,3,01:38,CLE,78.0,DET,73.0,M. Bagley III,DET,Bagley III Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G0030,3,01:19,CLE,,DET,,M. Bagley III,DET,Bagley III REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0030,3,01:01,CLE,,DET,,M. Bagley III,DET,MISS Bagley III 4' Driving Layup,Missed Shot,Driving Layup Shot,7,36,4,1,2.0,0.0,v
S2324-G0030,3,00:57.100000,CLE,,DET,,M. Bagley III,DET,Bagley III REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0030,3,00:57.100000,CLE,,DET,,M. Bagley III,DET,MISS Bagley III Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,v
S2324-G0030,4,10:22,CLE,,DET,,M. Bagley III,DET,Bagley III REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0030,4,10:21,CLE,,DET,,M. Bagley III,DET,Bagley III Bad Pass Turnover (P1.T14),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0030,4,10:14,CLE,,DET,,M. Bagley III,DET,Bagley III BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0030,4,08:21,CLE,,DET,,M. Bagley III,DET,SUB: Stewart FOR Bagley III,Substitution,,0,0,0,0,,,v
S2324-G0088,1,04:30,DET,,CHI,,M. Bagley III,DET,Bagley III REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0088,1,04:17,DET,20.0,CHI,18.0,M. Bagley III,DET,Bagley III 2' Dunk (2 PTS) (Ivey 1 AST),Made Shot,Dunk Shot,-18,-1,2,1,2.0,2.0,h
S2324-G0088,1,02:42,DET,23.0,CHI,24.0,M. Bagley III,DET,Bagley III 27' 3PT Jump Shot (5 PTS) (Cunningham 2 AST),Made Shot,Jump Shot,118,242,27,1,3.0,3.0,h
S2324-G0088,1,01:03,DET,,CHI,,M. Bagley III,DET,Bagley III S.FOUL (P1.PN) (M.Lindsay),Foul,Shooting,0,0,0,0,,,h
S2324-G0088,1,00:33.700000,DET,,CHI,,M. Bagley III,DET,Bagley III REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0088,2,02:27,DET,51.0,CHI,42.0,M. Bagley III,DET,Bagley III 4' Jump Bank Shot (7 PTS),Made Shot,Jump Bank Shot,12,41,4,1,2.0,2.0,h
S2324-G0088,2,01:21,DET,,CHI,,M. Bagley III,DET,MISS Bagley III 13' Jump Shot,Missed Shot,Jump Shot,118,47,13,1,2.0,0.0,h
S2324-G0088,2,01:15,DET,55.0,CHI,44.0,M. Bagley III,DET,Bagley III 2' Cutting Dunk Shot (9 PTS) (Hayes 4 AST),Made Shot,Cutting Dunk Shot,13,14,2,1,2.0,2.0,h
S2324-G0088,2,00:38.700000,DET,,CHI,,M. Bagley III,DET,SUB: Thompson FOR Bagley III,Substitution,,0,0,0,0,,,h
S2324-G0088,3,03:07,DET,,CHI,,M. Bagley III,DET,Bagley III REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0088,3,02:56,DET,,CHI,,M. Bagley III,DET,MISS Bagley III 4' Layup,Missed Shot,Layup Shot,-38,15,4,1,2.0,0.0,h
S2324-G0088,3,02:28,DET,,CHI,,M. Bagley III,DET,Bagley III REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0088,3,01:46,DET,,CHI,,M. Bagley III,DET,Bagley III REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0088,3,01:46,DET,81.0,CHI,71.0,M. Bagley III,DET,Bagley III Tip Layup Shot (11 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2324-G0088,3,01:00,DET,,CHI,,M. Bagley III,DET,Bagley III S.FOUL (P2.PN) (M.Lindsay),Foul,Shooting,0,0,0,0,,,h
S2324-G0088,3,01:00,DET,,CHI,,M. Bagley III,DET,Bagley III T.FOUL (P2.PN) (N.Sago),Foul,Technical,0,0,0,0,,,h
S2324-G0088,3,00:45.200000,DET,,CHI,,M. Bagley III,DET,Bagley III REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0088,3,00:43.800000,DET,,CHI,,M. Bagley III,DET,MISS Bagley III 7' Jump Shot,Missed Shot,Jump Shot,-64,13,7,1,2.0,0.0,h
S2324-G0620,1,04:06,WAS,15.0,MIN,21.0,M. Bagley III,WAS,Bagley III 5' Turnaround Hook Shot (2 PTS) (Jones 1 AST),Made Shot,Turnaround Hook Shot,-37,34,5,1,2.0,2.0,h
S2324-G0620,1,03:27,WAS,,MIN,,M. Bagley III,WAS,Bagley III REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0620,1,03:17,WAS,17.0,MIN,21.0,M. Bagley III,WAS,Bagley III 2' Cutting Dunk Shot (4 PTS) (Coulibaly 1 AST),Made Shot,Cutting Dunk Shot,-16,7,2,1,2.0,2.0,h
S2324-G0620,1,01:20,WAS,21.0,MIN,28.0,M. Bagley III,WAS,Bagley III 2' Cutting Dunk Shot (6 PTS) (Poole 2 AST),Made Shot,Cutting Dunk Shot,-23,4,2,1,2.0,2.0,h
S2324-G0620,1,00:54,WAS,,MIN,,M. Bagley III,WAS,MISS Bagley III Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2324-G0620,1,00:54,WAS,22.0,MIN,30.0,M. Bagley III,WAS,Bagley III Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0620,1,00:35.800000,WAS,,MIN,,M. Bagley III,WAS,Bagley III REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0620,2,09:44,WAS,,MIN,,M. Bagley III,WAS,MISS Bagley III 6' Driving Hook Shot,Missed Shot,Driving Hook Shot,-54,34,6,1,2.0,0.0,h
S2324-G0620,2,09:26,WAS,,MIN,,M. Bagley III,WAS,Bagley III REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0620,2,07:07,WAS,,MIN,,M. Bagley III,WAS,Bagley III REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0620,2,06:57,WAS,,MIN,,M. Bagley III,WAS,Bagley III S.FOUL (P1.T2) (L.Wood),Foul,Shooting,0,0,0,0,,,h
S2324-G0620,2,06:57,WAS,,MIN,,M. Bagley III,WAS,SUB: Jones FOR Bagley III,Substitution,,0,0,0,0,,,h
S2324-G0620,2,01:14,WAS,,MIN,,M. Bagley III,WAS,MISS Bagley III Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2324-G0620,2,01:14,WAS,53.0,MIN,52.0,M. Bagley III,WAS,Bagley III Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0620,2,00:29,WAS,,MIN,,M. Bagley III,WAS,Bagley III S.FOUL (P2.PN) (R.Acosta),Foul,Shooting,0,0,0,0,,,h
